concept:name,time:timestamp,concept:resource,concept:instance,@@index,@@case_index,case:concept:name
Contagem de ponto de funcao complete,2026-01-06 15:25:46+00:00,re7,8,24,0,Demanda 0001
Contagem de ponto de funcao begin,2026-01-06 14:30:52+00:00,re7,9,18,0,Demanda 0001
Gestao d,2026-01-06 14:40:49+00:00,re7,9,83,0,Demanda 0001
Gestao c,2026-01-06 14:52:56+00:00,re7,9,84,0,Demanda 0001
Gestao r,2026-01-06 14:53:15+00:00,re7,9,85,0,Demanda 0001
Gestao u,2026-01-06 15:00:21+00:00,re7,9,86,0,Demanda 0001
Codigo r,2026-01-06 15:02:38+00:00,re7,9,87,0,Demanda 0001
PF c,2026-01-06 15:06:47+00:00,re7,9,88,0,Demanda 0001
PF r,2026-01-06 15:09:34+00:00,re7,9,89,0,Demanda 0001
Contagem de ponto de funcao complete,2026-01-06 15:30:52+00:00,re7,9,25,0,Demanda 0001
Manutencao de funcionalidade begin,2026-01-06 03:40:51+00:00,re7,10,1,0,Demanda 0001
Gestao u,2026-01-06 04:24:17+00:00,re7,10,90,0,Demanda 0001
Gestao d,2026-01-06 09:06:17+00:00,re7,10,91,0,Demanda 0001
Codigo u,2026-01-06 10:24:06+00:00,re7,10,92,0,Demanda 0001
Gestao r,2026-01-06 10:27:20+00:00,re7,10,93,0,Demanda 0001
Requisito r,2026-01-06 15:01:48+00:00,re7,10,94,0,Demanda 0001
Codigo r,2026-01-06 15:13:04+00:00,re7,10,95,0,Demanda 0001
Manutencao de funcionalidade complete,2026-01-06 15:40:51+00:00,re7,10,26,0,Demanda 0001
Planejamento de entrega begin,2026-01-06 11:42:10+00:00,re7,11,8,0,Demanda 0001
Gestao r,2026-01-06 12:10:13+00:00,re7,11,96,0,Demanda 0001
Requisito r,2026-01-06 12:14:12+00:00,re7,11,97,0,Demanda 0001
Gestao d,2026-01-06 12:20:40+00:00,re7,11,98,0,Demanda 0001
Gestao u,2026-01-06 12:47:51+00:00,re7,11,99,0,Demanda 0001
Gestao c,2026-01-06 14:47:05+00:00,re7,11,100,0,Demanda 0001
Planejamento de entrega complete,2026-01-06 15:42:10+00:00,re7,11,27,0,Demanda 0001
Publicar solucao begin,2026-01-06 11:52:13+00:00,re7,12,9,0,Demanda 0001
Gestao u,2026-01-06 12:13:16+00:00,re7,12,101,0,Demanda 0001
Gestao r,2026-01-06 15:18:30+00:00,re7,12,102,0,Demanda 0001
Gestao d,2026-01-06 15:45:58+00:00,re7,12,103,0,Demanda 0001
Publicar solucao complete,2026-01-06 15:52:13+00:00,re7,12,28,0,Demanda 0001
Contagem de ponto de funcao begin,2026-01-06 15:04:13+00:00,re7,13,21,0,Demanda 0001
Gestao r,2026-01-06 15:15:57+00:00,re7,13,104,0,Demanda 0001
PF c,2026-01-06 15:30:45+00:00,re7,13,105,0,Demanda 0001
PF u,2026-01-06 15:31:50+00:00,re7,13,106,0,Demanda 0001
Gestao u,2026-01-06 15:33:17+00:00,re7,13,107,0,Demanda 0001
Codigo r,2026-01-06 15:35:53+00:00,re7,13,108,0,Demanda 0001
Requisito r,2026-01-06 15:50:12+00:00,re7,13,109,0,Demanda 0001
PF r,2026-01-06 16:01:16+00:00,re7,13,110,0,Demanda 0001
Contagem de ponto de funcao complete,2026-01-06 16:04:13+00:00,re7,13,30,0,Demanda 0001
Contagem de ponto de funcao begin,2026-01-06 08:46:43+00:00,re7,14,5,0,Demanda 0001
Gestao u,2026-01-06 10:33:05+00:00,re7,14,111,0,Demanda 0001
PF r,2026-01-06 10:34:09+00:00,re7,14,112,0,Demanda 0001
Gestao c,2026-01-06 10:36:56+00:00,re7,14,113,0,Demanda 0001
PF c,2026-01-06 10:59:17+00:00,re7,14,114,0,Demanda 0001
Requisito r,2026-01-06 12:40:41+00:00,re7,14,115,0,Demanda 0001
Codigo r,2026-01-06 15:48:08+00:00,re7,14,116,0,Demanda 0001
Contagem de ponto de funcao complete,2026-01-06 16:46:43+00:00,re7,14,31,0,Demanda 0001
Gestao u,2026-01-06 13:38:45+00:00,re7,15,117,0,Demanda 0001
Requisito r,2026-01-06 16:30:15+00:00,re7,15,118,0,Demanda 0001
Elaborar caso de teste begin,2026-01-06 22:51:05+00:00,re7,16,36,0,Demanda 0001
Teste r,2026-01-07 00:32:04+00:00,re7,16,119,0,Demanda 0001
Teste d,2026-01-07 01:26:46+00:00,re7,16,120,0,Demanda 0001
Teste c,2026-01-07 04:26:39+00:00,re7,16,121,0,Demanda 0001
Gestao c,2026-01-07 04:29:52+00:00,re7,16,122,0,Demanda 0001
Gestao u,2026-01-07 05:11:16+00:00,re7,16,123,0,Demanda 0001
Elaborar caso de teste complete,2026-01-07 06:51:05+00:00,re7,16,37,0,Demanda 0001
Corrigir erro begin,2026-01-06 11:37:09+00:00,re7,17,7,0,Demanda 0001
Codigo u,2026-01-06 11:48:05+00:00,re7,17,124,0,Demanda 0001
Gestao d,2026-01-06 13:11:33+00:00,re7,17,125,0,Demanda 0001
Gestao u,2026-01-06 15:27:36+00:00,re7,17,126,0,Demanda 0001
Codigo c,2026-01-06 17:05:16+00:00,re7,17,127,0,Demanda 0001
Codigo d,2026-01-06 17:10:55+00:00,re7,17,128,0,Demanda 0001
Corrigir erro complete,2026-01-06 17:37:09+00:00,re7,17,33,0,Demanda 0001
Contagem de ponto de funcao begin,2026-01-06 16:01:29+00:00,re7,18,29,0,Demanda 0001
Gestao u,2026-01-06 16:14:51+00:00,re7,18,129,0,Demanda 0001
Gestao d,2026-01-06 16:22:41+00:00,re7,18,130,0,Demanda 0001
PF c,2026-01-06 16:51:48+00:00,re7,18,131,0,Demanda 0001
Codigo r,2026-01-06 17:15:55+00:00,re7,18,132,0,Demanda 0001
PF u,2026-01-06 17:22:50+00:00,re7,18,133,0,Demanda 0001
Contagem de ponto de funcao complete,2026-01-06 18:01:29+00:00,re7,18,34,0,Demanda 0001
Contagem de ponto de funcao begin,2026-01-06 14:04:29+00:00,re7,19,14,0,Demanda 0001
Requisito r,2026-01-06 14:24:34+00:00,re7,19,134,0,Demanda 0001
Codigo r,2026-01-06 14:42:06+00:00,re7,19,135,0,Demanda 0001
PF c,2026-01-06 16:52:55+00:00,re7,19,136,0,Demanda 0001
Gestao u,2026-01-06 16:59:03+00:00,re7,19,137,0,Demanda 0001
Gestao r,2026-01-06 17:07:49+00:00,re7,19,138,0,Demanda 0001
Contagem de ponto de funcao complete,2026-01-06 18:04:29+00:00,re7,19,35,0,Demanda 0001
Executar teste begin,2026-01-07 18:06:19+00:00,re10,20,38,0,Demanda 0001
Teste u,2026-01-07 18:26:27+00:00,re7,20,139,0,Demanda 0001
Requisito r,2026-01-07 18:36:02+00:00,re7,20,140,0,Demanda 0001
Teste r,2026-01-07 18:53:23+00:00,re7,20,141,0,Demanda 0001
Codigo r,2026-01-07 18:56:16+00:00,re7,20,142,0,Demanda 0001
Gestao u,2026-01-07 19:01:31+00:00,re7,20,143,0,Demanda 0001
Executar teste complete,2026-01-07 19:06:19+00:00,re10,20,39,0,Demanda 0001
