;concept:name;lifecycle:transition;time:timestamp;case:concept:name;concept:resource;concept:instance
21;Planejamento de entrega;complete;2026-01-06 15:42:10.751000+00:00;Demanda 0001;re9;11
22;Publicar solucao;begin;2026-01-06 11:52:13.751000+00:00;Demanda 0001;re5;12
23;Publicar solucao;complete;2026-01-06 15:52:13.751000+00:00;Demanda 0001;re5;12
24;Contagem de ponto de funcao;begin;2026-01-06 12:04:13.751000+00:00;Demanda 0001;re8;13
25;Contagem de ponto de funcao;complete;2026-01-06 16:04:13.751000+00:00;Demanda 0001;re8;13
26;Contagem de ponto de funcao;begin;2026-01-06 08:46:43.751000+00:00;Demanda 0001;re5;14
27;Contagem de ponto de funcao;complete;2026-01-06 16:46:43.751000+00:00;Demanda 0001;re5;14
28;Review da entrega;begin;2026-01-06 14:48:26.751000+00:00;Demanda 0001;re6;15
29;Review da entrega;complete;2026-01-06 16:48:26.751000+00:00;Demanda 0001;re6;15
30;Elaborar caso de teste;begin;2026-01-06 22:51:05.751000+00:00;Demanda 0001;re5;16
31;Elaborar caso de teste;complete;2026-01-07 08:51:05.751000+00:00;Demanda 0001;re5;16
32;Corrigir erro;begin;2026-01-06 11:37:09.751000+00:00;Demanda 0001;re5;17
33;Corrigir erro;complete;2026-01-06 17:37:09.751000+00:00;Demanda 0001;re5;17
34;Contagem de ponto de funcao;begin;2026-01-06 16:01:29.751000+00:00;Demanda 0001;re5;18
35;Contagem de ponto de funcao;complete;2026-01-06 18:01:29.751000+00:00;Demanda 0001;re5;18
36;Contagem de ponto de funcao;begin;2026-01-06 10:04:29.751000+00:00;Demanda 0001;re9;19
37;Contagem de ponto de funcao;complete;2026-01-06 18:04:29.751000+00:00;Demanda 0001;re9;19
38;Executar teste;begin;2026-01-07 18:06:19.751000+00:00;Demanda 0001;re9;20
39;Executar teste;complete;2026-01-07 08:06:19.751000+00:00;Demanda 0001;re9;20
40;Documentacao de requisitos funcionais;begin;2026-01-05 22:25:34.751000+00:00;Demanda 0002;re12;1
41;Documentacao de requisitos funcionais;complete;2026-01-06 10:25:34.751000+00:00;Demanda 0002;re12;1
42;Contagem de ponto de funcao;begin;2026-01-06 06:52:00.751000+00:00;Demanda 0002;re13;2
43;Contagem de ponto de funcao;complete;2026-01-06 10:52:00.751000+00:00;Demanda 0002;re13;2
44;Contagem de ponto de funcao;begin;2026-01-06 08:56:29.751000+00:00;Demanda 0002;re12;3
45;Contagem de ponto de funcao;complete;2026-01-06 10:56:29.751000+00:00;Demanda 0002;re12;3
46;Publicar solucao;begin;2026-01-06 09:04:24.751000+00:00;Demanda 0002;re12;4
47;Publicar solucao;complete;2026-01-06 11:04:24.751000+00:00;Demanda 0002;re12;4
48;Gestao da demanda;begin;2026-01-06 09:26:05.751000+00:00;Demanda 0002;re13;5
49;Gestao da demanda;complete;2026-01-06 11:26:05.751000+00:00;Demanda 0002;re13;5
50;Construcao de funcionalidade;begin;2026-01-06 03:30:59.751000+00:00;Demanda 0002;re13;6
51;Construcao de funcionalidade;complete;2026-01-06 11:30:59.751000+00:00;Demanda 0002;re13;6
52;Contagem de ponto de funcao;begin;2026-01-06 09:48:33.751000+00:00;Demanda 0002;re12;7
53;Contagem de ponto de funcao;complete;2026-01-06 11:48:33.751000+00:00;Demanda 0002;re12;7
54;Contagem de ponto de funcao;begin;2026-01-06 08:03:49.751000+00:00;Demanda 0002;re12;8
55;Contagem de ponto de funcao;complete;2026-01-06 12:03:49.751000+00:00;Demanda 0002;re12;8
56;Manutencao de funcionalidade;begin;2026-01-05 12:16:59.751000+00:00;Demanda 0002;re12;9
57;Manutencao de funcionalidade;complete;2026-01-06 12:16:59.751000+00:00;Demanda 0002;re12;9
58;Planejamento de entrega;begin;2026-01-06 10:32:01.751000+00:00;Demanda 0002;re12;10
59;Planejamento de entrega;complete;2026-01-06 12:32:01.751000+00:00;Demanda 0002;re12;10
60;Publicar solucao;begin;2026-01-06 06:35:10.751000+00:00;Demanda 0002;re13;11
61;Publicar solucao;complete;2026-01-06 12:35:10.751000+00:00;Demanda 0002;re13;11
62;Contagem de ponto de funcao;begin;2026-01-06 08:37:11.751000+00:00;Demanda 0002;re13;12
63;Contagem de ponto de funcao;complete;2026-01-06 12:37:11.751000+00:00;Demanda 0002;re13;12
64;Contagem de ponto de funcao;begin;2026-01-06 08:40:47.751000+00:00;Demanda 0002;re13;13
65;Contagem de ponto de funcao;complete;2026-01-06 12:40:47.751000+00:00;Demanda 0002;re13;13
66;Corrigir erro;begin;2026-01-06 10:59:03.751000+00:00;Demanda 0002;re13;14
67;Corrigir erro;complete;2026-01-06 12:59:03.751000+00:00;Demanda 0002;re13;14
68;Elaborar caso de teste;begin;2026-01-06 19:02:36.751000+00:00;Demanda 0002;re13;15
69;Elaborar caso de teste;complete;2026-01-07 09:02:36.751000+00:00;Demanda 0002;re13;15
70;Executar teste;begin;2026-01-07 13:14:39.751000+00:00;Demanda 0002;re13;16
71;Executar teste;complete;2026-01-07 03:14:39.751000+00:00;Demanda 0002;re13;16
72;Contagem de ponto de funcao;begin;2026-01-06 11:26:45.751000+00:00;Demanda 0002;re13;17
73;Contagem de ponto de funcao;complete;2026-01-06 13:26:45.751000+00:00;Demanda 0002;re13;17
74;Contagem de ponto de funcao;begin;2026-01-06 09:49:16.751000+00:00;Demanda 0002;re13;18
75;Contagem de ponto de funcao;complete;2026-01-06 13:49:16.751000+00:00;Demanda 0002;re13;18
76;Review da entrega;begin;2026-01-06 08:07:14.751000+00:00;Demanda 0002;re13;19
77;Review da entrega;complete;2026-01-06 14:07:14.751000+00:00;Demanda 0002;re13;19
78;Atualizacao de requisitos funcionais;begin;2026-01-06 08:19:42.751000+00:00;Demanda 0002;re12;21
79;Atualizacao de requisitos funcionais;complete;2026-01-06 10:19:42.751000+00:00;Demanda 0002;re12;21
80;Documentacao de requisitos funcionais;begin;2026-01-05 22:23:26.751000+00:00;Demanda 0003;re2;1
81;Documentacao de requisitos funcionais;complete;2026-01-06 06:23:26.751000+00:00;Demanda 0003;re2;1
82;Contagem de ponto de funcao;begin;2026-01-06 04:26:00.751000+00:00;Demanda 0003;re14;2
83;Contagem de ponto de funcao;complete;2026-01-06 06:26:00.751000+00:00;Demanda 0003;re14;2
84;Contagem de ponto de funcao;begin;2026-01-05 22:26:58.751000+00:00;Demanda 0003;re14;3
85;Contagem de ponto de funcao;complete;2026-01-06 06:26:58.751000+00:00;Demanda 0003;re14;3
86;Publicar solucao;begin;2026-01-06 05:39:58.751000+00:00;Demanda 0003;re1;4
87;Publicar solucao;complete;2026-01-06 06:39:58.751000+00:00;Demanda 0003;re1;4
88;Gestao da demanda;begin;2026-01-06 02:44:52.751000+00:00;Demanda 0003;re1;5
89;Gestao da demanda;complete;2026-01-06 06:44:52.751000+00:00;Demanda 0003;re1;5
90;Manutencao de funcionalidade;begin;2026-01-05 06:45:32.751000+00:00;Demanda 0003;re2;6
91;Manutencao de funcionalidade;complete;2026-01-06 06:45:32.751000+00:00;Demanda 0003;re2;6
92;Contagem de ponto de funcao;begin;2026-01-06 05:48:45.751000+00:00;Demanda 0003;re14;7
93;Contagem de ponto de funcao;complete;2026-01-06 06:48:45.751000+00:00;Demanda 0003;re14;7
94;Contagem de ponto de funcao;begin;2026-01-06 02:49:47.751000+00:00;Demanda 0003;re14;8
95;Contagem de ponto de funcao;complete;2026-01-06 06:49:47.751000+00:00;Demanda 0003;re14;8
96;Construcao de funcionalidade;begin;2026-01-05 14:57:57.751000+00:00;Demanda 0003;re1;9
97;Construcao de funcionalidade;complete;2026-01-06 06:57:57.751000+00:00;Demanda 0003;re1;9
98;Planejamento de entrega;begin;2026-01-06 06:15:48.751000+00:00;Demanda 0003;re2;10
99;Planejamento de entrega;complete;2026-01-06 07:15:48.751000+00:00;Demanda 0003;re2;10
100;Publicar solucao;begin;2026-01-06 03:21:12.751000+00:00;Demanda 0003;re14;11
101;Publicar solucao;complete;2026-01-06 07:21:12.751000+00:00;Demanda 0003;re14;11
102;Contagem de ponto de funcao;begin;2026-01-06 06:32:39.751000+00:00;Demanda 0003;re2;12
103;Contagem de ponto de funcao;complete;2026-01-06 07:32:39.751000+00:00;Demanda 0003;re2;12
104;Contagem de ponto de funcao;begin;2026-01-06 05:47:01.751000+00:00;Demanda 0003;re2;13
105;Contagem de ponto de funcao;complete;2026-01-06 07:47:01.751000+00:00;Demanda 0003;re2;13
106;Corrigir erro;begin;2026-01-06 04:38:22.751000+00:00;Demanda 0003;re14;14
107;Corrigir erro;complete;2026-01-06 08:38:22.751000+00:00;Demanda 0003;re14;14
108;Elaborar caso de teste;begin;2026-01-06 14:46:49.751000+00:00;Demanda 0003;re14;15
109;Elaborar caso de teste;complete;2026-01-07 00:46:49.751000+00:00;Demanda 0003;re14;15
110;Executar teste;begin;2026-01-07 08:54:06.751000+00:00;Demanda 0003;re14;16
111;Executar teste;complete;2026-01-06 22:54:06.751000+00:00;Demanda 0003;re14;16
112;Contagem de ponto de funcao;begin;2026-01-06 01:40:29.751000+00:00;Demanda 0003;re14;17
113;Contagem de ponto de funcao;complete;2026-01-06 09:40:29.751000+00:00;Demanda 0003;re14;17
114;Contagem de ponto de funcao;begin;2026-01-06 01:47:25.751000+00:00;Demanda 0003;re14;18
115;Contagem de ponto de funcao;complete;2026-01-06 09:47:25.751000+00:00;Demanda 0003;re14;18
116;Review da entrega;begin;2026-01-06 05:55:36.751000+00:00;Demanda 0003;re2;19
117;Review da entrega;complete;2026-01-06 09:55:36.751000+00:00;Demanda 0003;re2;19
118;Atualizacao de requisitos funcionais;begin;2026-01-06 02:15:08.751000+00:00;Demanda 0003;re2;20
119;Atualizacao de requisitos funcionais;complete;2026-01-06 06:15:08.751000+00:00;Demanda 0003;re2;20
120;Documentacao de requisitos funcionais;begin;2026-01-05 22:18:19.751000+00:00;Demanda 0004;re7;1
121;Documentacao de requisitos funcionais;complete;2026-01-06 02:18:19.751000+00:00;Demanda 0004;re7;1
122;Contagem de ponto de funcao;begin;2026-01-05 22:19:19.751000+00:00;Demanda 0004;re7;2
123;Contagem de ponto de funcao;complete;2026-01-06 02:19:19.751000+00:00;Demanda 0004;re7;2
124;Contagem de ponto de funcao;begin;2026-01-06 00:21:19.751000+00:00;Demanda 0004;re7;3
125;Contagem de ponto de funcao;complete;2026-01-06 02:21:19.751000+00:00;Demanda 0004;re7;3
126;Publicar solucao;begin;2026-01-05 22:49:24.751000+00:00;Demanda 0004;re11;4
127;Publicar solucao;complete;2026-01-06 02:49:24.751000+00:00;Demanda 0004;re11;4
128;Manutencao de funcionalidade;begin;2026-01-05 19:20:03.751000+00:00;Demanda 0004;re10;5
129;Manutencao de funcionalidade;complete;2026-01-06 03:20:03.751000+00:00;Demanda 0004;re10;5
130;Gestao da demanda;begin;2026-01-05 19:34:17.751000+00:00;Demanda 0004;re11;6
131;Gestao da demanda;complete;2026-01-06 03:34:17.751000+00:00;Demanda 0004;re11;6
132;Contagem de ponto de funcao;begin;2026-01-05 23:55:25.751000+00:00;Demanda 0004;re7;7
133;Contagem de ponto de funcao;complete;2026-01-06 03:55:25.751000+00:00;Demanda 0004;re7;7
134;Contagem de ponto de funcao;begin;2026-01-05 23:59:10.751000+00:00;Demanda 0004;re10;8
135;Contagem de ponto de funcao;complete;2026-01-06 03:59:10.751000+00:00;Demanda 0004;re10;8
136;Construcao de funcionalidade;begin;2026-01-05 04:19:14.751000+00:00;Demanda 0004;re11;9
137;Construcao de funcionalidade;complete;2026-01-06 04:19:14.751000+00:00;Demanda 0004;re11;9
138;Planejamento de entrega;begin;2026-01-06 02:35:04.751000+00:00;Demanda 0004;re7;10
139;Planejamento de entrega;complete;2026-01-06 04:35:04.751000+00:00;Demanda 0004;re7;10
140;Publicar solucao;begin;2026-01-06 00:36:28.751000+00:00;Demanda 0004;re11;11
141;Publicar solucao;complete;2026-01-06 04:36:28.751000+00:00;Demanda 0004;re11;11
142;Contagem de ponto de funcao;begin;2026-01-06 00:51:20.751000+00:00;Demanda 0004;re7;12
143;Contagem de ponto de funcao;complete;2026-01-06 04:51:20.751000+00:00;Demanda 0004;re7;12
144;Contagem de ponto de funcao;begin;2026-01-06 04:10:18.751000+00:00;Demanda 0004;re11;13
145;Contagem de ponto de funcao;complete;2026-01-06 05:10:18.751000+00:00;Demanda 0004;re11;13
146;Corrigir erro;begin;2026-01-05 21:18:30.751000+00:00;Demanda 0004;re11;14
147;Corrigir erro;complete;2026-01-06 05:18:30.751000+00:00;Demanda 0004;re11;14
148;Elaborar caso de teste;begin;2026-01-06 11:23:50.751000+00:00;Demanda 0004;re7;15
149;Elaborar caso de teste;complete;2026-01-07 05:23:50.751000+00:00;Demanda 0004;re7;15
150;Executar teste;begin;2026-01-07 05:37:34.751000+00:00;Demanda 0004;re11;16
151;Executar teste;complete;2026-01-07 01:37:34.751000+00:00;Demanda 0004;re11;16
152;Contagem de ponto de funcao;begin;2026-01-06 01:48:34.751000+00:00;Demanda 0004;re11;17
153;Contagem de ponto de funcao;complete;2026-01-06 05:48:34.751000+00:00;Demanda 0004;re11;17
154;Contagem de ponto de funcao;begin;2026-01-06 01:48:51.751000+00:00;Demanda 0004;re7;18
155;Contagem de ponto de funcao;complete;2026-01-06 05:48:51.751000+00:00;Demanda 0004;re7;18
156;Review da entrega;begin;2026-01-06 00:04:25.751000+00:00;Demanda 0004;re10;19
157;Review da entrega;complete;2026-01-06 06:04:25.751000+00:00;Demanda 0004;re10;19
158;Atualizacao de requisitos funcionais;begin;2026-01-05 10:13:49.751000+00:00;Demanda 0004;re7;20
159;Atualizacao de requisitos funcionais;complete;2026-01-06 02:13:49.751000+00:00;Demanda 0004;re7;20
160;Documentacao de requisitos funcionais;begin;2026-01-05 06:26:14.751000+00:00;Demanda 0005;re14;1
161;Documentacao de requisitos funcionais;complete;2026-01-05 22:26:14.751000+00:00;Demanda 0005;re14;1
162;Contagem de ponto de funcao;begin;2026-01-05 14:33:21.751000+00:00;Demanda 0005;re14;2
163;Contagem de ponto de funcao;complete;2026-01-05 22:33:21.751000+00:00;Demanda 0005;re14;2
164;Contagem de ponto de funcao;begin;2026-01-05 14:35:25.751000+00:00;Demanda 0005;re2;3
165;Contagem de ponto de funcao;complete;2026-01-05 22:35:25.751000+00:00;Demanda 0005;re2;3
166;Publicar solucao;begin;2026-01-05 20:35:28.751000+00:00;Demanda 0005;re2;4
167;Publicar solucao;complete;2026-01-05 22:35:28.751000+00:00;Demanda 0005;re2;4
168;Construcao de funcionalidade;begin;2026-01-05 11:42:42.751000+00:00;Demanda 0005;re1;5
169;Construcao de funcionalidade;complete;2026-01-05 23:42:42.751000+00:00;Demanda 0005;re1;5
170;Gestao da demanda;begin;2026-01-05 19:54:33.751000+00:00;Demanda 0005;re2;6
171;Gestao da demanda;complete;2026-01-05 23:54:33.751000+00:00;Demanda 0005;re2;6
172;Contagem de ponto de funcao;begin;2026-01-05 21:59:10.751000+00:00;Demanda 0005;re14;7
173;Contagem de ponto de funcao;complete;2026-01-05 23:59:10.751000+00:00;Demanda 0005;re14;7
174;Contagem de ponto de funcao;begin;2026-01-05 19:59:27.751000+00:00;Demanda 0005;re1;8
175;Contagem de ponto de funcao;complete;2026-01-05 23:59:27.751000+00:00;Demanda 0005;re1;8
176;Manutencao de funcionalidade;begin;2026-01-05 20:00:05.751000+00:00;Demanda 0005;re14;9
177;Manutencao de funcionalidade;complete;2026-01-06 00:00:05.751000+00:00;Demanda 0005;re14;9
178;Planejamento de entrega;begin;2026-01-05 23:01:50.751000+00:00;Demanda 0005;re1;10
179;Planejamento de entrega;complete;2026-01-06 00:01:50.751000+00:00;Demanda 0005;re1;10
180;Publicar solucao;begin;2026-01-05 20:12:19.751000+00:00;Demanda 0005;re14;11
181;Publicar solucao;complete;2026-01-06 00:12:19.751000+00:00;Demanda 0005;re14;11
182;Contagem de ponto de funcao;begin;2026-01-05 20:30:15.751000+00:00;Demanda 0005;re1;12
183;Contagem de ponto de funcao;complete;2026-01-06 00:30:15.751000+00:00;Demanda 0005;re1;12
184;Contagem de ponto de funcao;begin;2026-01-05 17:00:47.751000+00:00;Demanda 0005;re1;13
185;Contagem de ponto de funcao;complete;2026-01-06 01:00:47.751000+00:00;Demanda 0005;re1;13
186;Corrigir erro;begin;2026-01-05 23:02:42.751000+00:00;Demanda 0005;re2;14
187;Corrigir erro;complete;2026-01-06 01:02:42.751000+00:00;Demanda 0005;re2;14
188;Elaborar caso de teste;begin;2026-01-06 07:18:02.751000+00:00;Demanda 0005;re14;15
189;Elaborar caso de teste;complete;2026-01-06 15:18:02.751000+00:00;Demanda 0005;re14;15
190;Executar teste;begin;2026-01-07 01:32:38.751000+00:00;Demanda 0005;re14;16
191;Executar teste;complete;2026-01-06 14:32:38.751000+00:00;Demanda 0005;re14;16
192;Contagem de ponto de funcao;begin;2026-01-05 21:35:13.751000+00:00;Demanda 0005;re1;17
193;Contagem de ponto de funcao;complete;2026-01-06 01:35:13.751000+00:00;Demanda 0005;re1;17
194;Contagem de ponto de funcao;begin;2026-01-05 22:02:56.751000+00:00;Demanda 0005;re2;18
195;Contagem de ponto de funcao;complete;2026-01-06 02:02:56.751000+00:00;Demanda 0005;re2;18
196;Review da entrega;begin;2026-01-06 01:06:44.751000+00:00;Demanda 0005;re2;19
197;Review da entrega;complete;2026-01-06 02:06:44.751000+00:00;Demanda 0005;re2;19
198;Atualizacao de requisitos funcionais;begin;2026-01-05 20:12:57.751000+00:00;Demanda 0005;re2;20
199;Atualizacao de requisitos funcionais;complete;2026-01-05 22:12:57.751000+00:00;Demanda 0005;re2;20
200;Documentacao de requisitos funcionais;begin;2026-01-05 06:30:33.751000+00:00;Demanda 0006;re8;1
201;Documentacao de requisitos funcionais;complete;2026-01-05 18:30:33.751000+00:00;Demanda 0006;re8;1
202;Contagem de ponto de funcao;begin;2026-01-05 17:31:30.751000+00:00;Demanda 0006;re5;2
203;Contagem de ponto de funcao;complete;2026-01-05 18:31:30.751000+00:00;Demanda 0006;re5;2
204;Contagem de ponto de funcao;begin;2026-01-05 10:32:54.751000+00:00;Demanda 0006;re5;3
205;Contagem de ponto de funcao;complete;2026-01-05 18:32:54.751000+00:00;Demanda 0006;re5;3
206;Publicar solucao;begin;2026-01-05 12:43:02.751000+00:00;Demanda 0006;re6;4
207;Publicar solucao;complete;2026-01-05 18:43:02.751000+00:00;Demanda 0006;re6;4
208;Manutencao de funcionalidade;begin;2026-01-05 03:07:28.751000+00:00;Demanda 0006;re6;5
209;Manutencao de funcionalidade;complete;2026-01-05 19:07:28.751000+00:00;Demanda 0006;re6;5
210;Construcao de funcionalidade;begin;2026-01-05 15:33:25.751000+00:00;Demanda 0006;re9;6
211;Construcao de funcionalidade;complete;2026-01-05 19:33:25.751000+00:00;Demanda 0006;re9;6
212;Contagem de ponto de funcao;begin;2026-01-05 18:35:37.751000+00:00;Demanda 0006;re9;7
213;Contagem de ponto de funcao;complete;2026-01-05 19:35:37.751000+00:00;Demanda 0006;re9;7
214;Contagem de ponto de funcao;begin;2026-01-05 15:46:38.751000+00:00;Demanda 0006;re9;8
215;Contagem de ponto de funcao;complete;2026-01-05 19:46:38.751000+00:00;Demanda 0006;re9;8
216;Gestao da demanda;begin;2026-01-05 17:53:23.751000+00:00;Demanda 0006;re8;9
217;Gestao da demanda;complete;2026-01-05 19:53:23.751000+00:00;Demanda 0006;re8;9
218;Planejamento de entrega;begin;2026-01-05 16:15:23.751000+00:00;Demanda 0006;re6;10
219;Planejamento de entrega;complete;2026-01-05 20:15:23.751000+00:00;Demanda 0006;re6;10
220;Publicar solucao;begin;2026-01-05 16:33:38.751000+00:00;Demanda 0006;re6;11
221;Publicar solucao;complete;2026-01-05 20:33:38.751000+00:00;Demanda 0006;re6;11
222;Contagem de ponto de funcao;begin;2026-01-05 12:37:57.751000+00:00;Demanda 0006;re5;12
223;Contagem de ponto de funcao;complete;2026-01-05 20:37:57.751000+00:00;Demanda 0006;re5;12
224;Contagem de ponto de funcao;begin;2026-01-05 12:39:27.751000+00:00;Demanda 0006;re8;13
225;Contagem de ponto de funcao;complete;2026-01-05 20:39:27.751000+00:00;Demanda 0006;re8;13
226;Corrigir erro;begin;2026-01-05 19:01:13.751000+00:00;Demanda 0006;re8;14
227;Corrigir erro;complete;2026-01-05 21:01:13.751000+00:00;Demanda 0006;re8;14
228;Elaborar caso de teste;begin;2026-01-06 03:07:36.751000+00:00;Demanda 0006;re6;15
229;Elaborar caso de teste;complete;2026-01-06 17:07:36.751000+00:00;Demanda 0006;re6;15
230;Executar teste;begin;2026-01-06 21:17:58.751000+00:00;Demanda 0006;re6;16
231;Executar teste;complete;2026-01-06 11:17:58.751000+00:00;Demanda 0006;re6;16
232;Contagem de ponto de funcao;begin;2026-01-05 17:40:48.751000+00:00;Demanda 0006;re5;17
233;Contagem de ponto de funcao;complete;2026-01-05 21:40:48.751000+00:00;Demanda 0006;re5;17
234;Contagem de ponto de funcao;begin;2026-01-05 19:48:51.751000+00:00;Demanda 0006;re7;18
235;Contagem de ponto de funcao;complete;2026-01-05 21:48:51.751000+00:00;Demanda 0006;re7;18
236;Review da entrega;begin;2026-01-05 15:54:10.751000+00:00;Demanda 0006;re9;19
237;Review da entrega;complete;2026-01-05 21:54:10.751000+00:00;Demanda 0006;re9;19
238;Atualizacao de requisitos funcionais;begin;2026-01-05 12:22:49.751000+00:00;Demanda 0006;re9;20
239;Atualizacao de requisitos funcionais;complete;2026-01-05 18:22:49.751000+00:00;Demanda 0006;re9;20
240;Documentacao de requisitos funcionais;begin;2026-01-05 12:22:59.751000+00:00;Demanda 0007;re13;1
241;Documentacao de requisitos funcionais;complete;2026-01-05 14:22:59.751000+00:00;Demanda 0007;re13;1
242;Contagem de ponto de funcao;begin;2026-01-05 06:42:24.751000+00:00;Demanda 0007;re12;2
243;Contagem de ponto de funcao;complete;2026-01-05 14:42:24.751000+00:00;Demanda 0007;re12;2
244;Contagem de ponto de funcao;begin;2026-01-05 12:54:28.751000+00:00;Demanda 0007;re12;3
245;Contagem de ponto de funcao;complete;2026-01-05 14:54:28.751000+00:00;Demanda 0007;re12;3
246;Publicar solucao;begin;2026-01-05 14:27:44.751000+00:00;Demanda 0007;re12;4
247;Publicar solucao;complete;2026-01-05 15:27:44.751000+00:00;Demanda 0007;re12;4
248;Construcao de funcionalidade;begin;2026-01-04 23:36:14.751000+00:00;Demanda 0007;re12;5
249;Construcao de funcionalidade;complete;2026-01-05 15:36:14.751000+00:00;Demanda 0007;re12;5
250;Manutencao de funcionalidade;begin;2026-01-05 07:41:02.751000+00:00;Demanda 0007;re13;6
251;Manutencao de funcionalidade;complete;2026-01-05 15:41:02.751000+00:00;Demanda 0007;re13;6
252;Contagem de ponto de funcao;begin;2026-01-05 07:44:39.751000+00:00;Demanda 0007;re12;7
253;Contagem de ponto de funcao;complete;2026-01-05 15:44:39.751000+00:00;Demanda 0007;re12;7
254;Contagem de ponto de funcao;begin;2026-01-05 11:44:48.751000+00:00;Demanda 0007;re12;8
255;Contagem de ponto de funcao;complete;2026-01-05 15:44:48.751000+00:00;Demanda 0007;re12;8
256;Gestao da demanda;begin;2026-01-05 13:54:44.751000+00:00;Demanda 0007;re13;9
257;Gestao da demanda;complete;2026-01-05 15:54:44.751000+00:00;Demanda 0007;re13;9
258;Planejamento de entrega;begin;2026-01-05 14:08:41.751000+00:00;Demanda 0007;re13;10
259;Planejamento de entrega;complete;2026-01-05 16:08:41.751000+00:00;Demanda 0007;re13;10
260;Publicar solucao;begin;2026-01-05 10:15:54.751000+00:00;Demanda 0007;re13;11
261;Publicar solucao;complete;2026-01-05 16:15:54.751000+00:00;Demanda 0007;re13;11
262;Contagem de ponto de funcao;begin;2026-01-05 08:22:36.751000+00:00;Demanda 0007;re13;12
263;Contagem de ponto de funcao;complete;2026-01-05 16:22:36.751000+00:00;Demanda 0007;re13;12
264;Contagem de ponto de funcao;begin;2026-01-05 08:23:28.751000+00:00;Demanda 0007;re12;13
265;Contagem de ponto de funcao;complete;2026-01-05 16:23:28.751000+00:00;Demanda 0007;re12;13
266;Corrigir erro;begin;2026-01-05 12:26:37.751000+00:00;Demanda 0007;re12;14
267;Corrigir erro;complete;2026-01-05 16:26:37.751000+00:00;Demanda 0007;re12;14
268;Elaborar caso de teste;begin;2026-01-05 22:48:59.751000+00:00;Demanda 0007;re12;15
269;Elaborar caso de teste;complete;2026-01-06 06:48:59.751000+00:00;Demanda 0007;re12;15
270;Executar teste;begin;2026-01-06 16:58:24.751000+00:00;Demanda 0007;re13;16
271;Executar teste;complete;2026-01-06 06:58:24.751000+00:00;Demanda 0007;re13;16
272;Contagem de ponto de funcao;begin;2026-01-05 15:59:28.751000+00:00;Demanda 0007;re13;17
273;Contagem de ponto de funcao;complete;2026-01-05 16:59:28.751000+00:00;Demanda 0007;re13;17
274;Contagem de ponto de funcao;begin;2026-01-05 16:24:34.751000+00:00;Demanda 0007;re13;18
275;Contagem de ponto de funcao;complete;2026-01-05 17:24:34.751000+00:00;Demanda 0007;re13;18
276;Review da entrega;begin;2026-01-05 16:54:45.751000+00:00;Demanda 0007;re12;19
277;Review da entrega;complete;2026-01-05 17:54:45.751000+00:00;Demanda 0007;re12;19
278;Atualizacao de requisitos funcionais;begin;2026-01-05 08:11:57.751000+00:00;Demanda 0007;re13;20
279;Atualizacao de requisitos funcionais;complete;2026-01-05 14:11:57.751000+00:00;Demanda 0007;re13;20
280;Documentacao de requisitos funcionais;begin;2026-01-05 02:37:14.751000+00:00;Demanda 0008;re7;1
