;case:concept:name;concept:tool;concept:operation;time:timestamp;concept:resource;case:instance
58;1;PF;r;2026-01-06 15:24:50.119122999+00:00;re4;13
59;1;PF;u;2026-01-06 15:46:15.688854369+00:00;re4;13
60;1;Gestao;U;2026-01-06 16:16:32.040856677+00:00;re3;14
61;1;Gestao;d;2026-01-06 15:55:04.519063217+00:00;re3;14
62;1;Requisito;r;2026-01-06 16:05:20.755283079+00:00;re3;14
63;1;PF;C;2026-01-06 15:47:18.543242629+00:00;re3;14
64;1;PF;u;2026-01-06 16:42:42.905351544+00:00;re3;14
65;1;Gestao;c;2026-01-06 16:30:45.661424370+00:00;re3;15
66;1;Gestao;r;2026-01-06 15:48:56.757240954+00:00;re3;15
67;1;Gestao;U;2026-01-06 16:35:26.245571860+00:00;re3;15
68;1;Gestao;d;2026-01-06 16:33:04.402136579+00:00;re3;15
69;1;Requisito;r;2026-01-06 16:25:37.657780692+00:00;re3;15
70;1;Teste;r;2026-01-06 16:38:10.585157129+00:00;re3;15
71;1;Gestao;c;2026-01-06 15:02:57.060686300+00:00;re4;16
72;1;Gestao;r;2026-01-06 16:48:32.481017521+00:00;re4;16
73;1;Gestao;U;2026-01-06 16:23:45.401974312+00:00;re4;16
74;1;Gestao;d;2026-01-06 14:56:00.551636777+00:00;re4;16
75;1;Teste;C;2026-01-06 15:11:56.488150277+00:00;re4;16
76;1;Teste;u;2026-01-06 15:55:59.767857383+00:00;re4;16
77;1;Gestao;c;2026-01-06 16:04:30.919428427+00:00;re2;17
78;1;Gestao;r;2026-01-06 16:36:14.182727927+00:00;re2;17
79;1;Gestao;U;2026-01-06 17:16:21.347515731+00:00;re2;17
80;1;Codigo;r;2026-01-06 16:52:52.789943005+00:00;re2;17
81;1;Codigo;U;2026-01-06 15:37:43.261112515+00:00;re2;17
82;1;Requisito;r;2026-01-06 17:27:59.835468961+00:00;re2;17
83;1;Teste;r;2026-01-06 17:13:29.102875277+00:00;re2;17
84;1;Gestao;c;2026-01-06 16:06:38.213826471+00:00;re4;18
85;1;Gestao;U;2026-01-06 17:22:35.706815894+00:00;re4;18
86;1;Codigo;r;2026-01-06 16:15:16.045117582+00:00;re4;18
87;1;PF;C;2026-01-06 17:22:41.999599248+00:00;re4;18
88;1;PF;u;2026-01-06 16:44:56.653661044+00:00;re4;18
89;1;Gestao;U;2026-01-06 17:39:03.504439968+00:00;re1;19
90;1;PF;C;2026-01-06 17:40:20.708713979+00:00;re1;19
91;1;PF;r;2026-01-06 17:50:10.832839781+00:00;re1;19
92;1;PF;d;2026-01-06 17:18:08.718808892+00:00;re1;19
93;1;Gestao;U;2026-01-06 17:51:16.908990960+00:00;re1;20
94;1;Gestao;d;2026-01-06 17:39:55.503254612+00:00;re1;20
95;1;Codigo;r;2026-01-06 17:09:00.176133802+00:00;re1;20
96;1;Requisito;r;2026-01-06 18:03:52.370272796+00:00;re1;20
97;1;Teste;u;2026-01-06 17:26:22.674034546+00:00;re1;20
98;2;Gestao;c;2026-01-06 06:56:09.712883744+00:00;re13;1
99;2;Gestao;r;2026-01-05 19:11:39.781514131+00:00;re13;1
100;2;Gestao;U;2026-01-06 04:25:56.477250446+00:00;re13;1
101;2;Gestao;d;2026-01-06 00:26:02.062155374+00:00;re13;1
102;2;Codigo;r;2026-01-05 20:04:58.080540260+00:00;re13;1
103;2;Requisito;C;2026-01-06 04:41:17.504223993+00:00;re13;1
104;2;Requisito;d;2026-01-06 08:01:33.737374688+00:00;re13;1
105;2;Gestao;c;2026-01-06 10:40:14.411372344+00:00;re12;2
106;2;Gestao;U;2026-01-06 09:25:01.960111350+00:00;re12;2
107;2;Gestao;d;2026-01-06 09:36:08.173377043+00:00;re12;2
108;2;PF;C;2026-01-06 10:19:18.293023663+00:00;re12;2
109;2;PF;r;2026-01-06 08:53:51.745716514+00:00;re12;2
110;2;PF;u;2026-01-06 10:26:54.586637118+00:00;re12;2
111;2;PF;d;2026-01-06 10:26:53.418173470+00:00;re12;2
112;2;Gestao;U;2026-01-06 04:49:29.598327338+00:00;re13;3
113;2;Gestao;d;2026-01-06 06:22:54.163976929+00:00;re13;3
114;2;Requisito;r;2026-01-06 03:51:20.951481857+00:00;re13;3
115;2;PF;C;2026-01-06 04:26:39.787682960+00:00;re13;3
116;2;Gestao;r;2026-01-06 09:47:56.584797181+00:00;re12;4
117;2;Gestao;U;2026-01-06 08:13:08.006510286+00:00;re12;4
118;2;Gestao;d;2026-01-06 10:35:53.831067419+00:00;re12;4
119;2;Gestao;U;2026-01-06 10:51:16.659739967+00:00;re13;5
120;2;Gestao;d;2026-01-06 10:42:59.548087953+00:00;re13;5
121;2;Gestao;c;2026-01-06 05:19:14.617502115+00:00;re13;6
122;2;Gestao;r;2026-01-05 20:37:20.984501976+00:00;re13;6
123;2;Gestao;U;2026-01-06 10:01:23.426671969+00:00;re13;6
124;2;Gestao;d;2026-01-05 22:52:19.073459290+00:00;re13;6
125;2;Codigo;C;2026-01-06 08:52:31.483022986+00:00;re13;6
126;2;Codigo;r;2026-01-06 03:20:25.027182551+00:00;re13;6
127;2;Codigo;d;2026-01-05 23:20:31.990545613+00:00;re13;6
128;2;Teste;r;2026-01-06 08:22:03.800361207+00:00;re13;6
129;2;Gestao;c;2026-01-06 10:01:36.492636327+00:00;re13;7
130;2;Gestao;U;2026-01-06 11:19:19.100257112+00:00;re13;7
131;2;Gestao;d;2026-01-06 11:38:42.576879873+00:00;re13;7
132;2;Codigo;r;2026-01-06 10:38:19.370253899+00:00;re13;7
133;2;PF;C;2026-01-06 10:46:44.399253591+00:00;re13;7
134;2;PF;r;2026-01-06 10:42:54.930129210+00:00;re13;7
135;2;PF;d;2026-01-06 10:50:31.839338556+00:00;re13;7
136;2;Gestao;U;2026-01-06 11:38:43.081602737+00:00;re12;8
137;2;PF;C;2026-01-06 08:38:42.499142528+00:00;re12;8
138;2;PF;r;2026-01-06 09:05:38.752835444+00:00;re12;8
139;2;PF;d;2026-01-06 11:14:11.123355887+00:00;re12;8
140;2;Gestao;r;2026-01-06 00:19:08.023410699+00:00;re13;9
141;2;Gestao;U;2026-01-06 11:02:22.830263111+00:00;re13;9
142;2;Codigo;U;2026-01-06 01:37:11.462509928+00:00;re13;9
143;2;Teste;r;2026-01-06 01:39:27.114658504+00:00;re13;9
144;2;Gestao;r;2026-01-06 08:46:54.718541268+00:00;re12;10
145;2;Gestao;U;2026-01-06 11:18:43.554854585+00:00;re12;10
146;2;PF;r;2026-01-06 08:54:30.280190063+00:00;re12;10
147;2;Gestao;r;2026-01-06 10:39:59.848134522+00:00;re12;11
148;2;Gestao;U;2026-01-06 11:38:14.826444772+00:00;re12;11
149;2;Gestao;d;2026-01-06 11:01:43.869376605+00:00;re12;11
150;2;Gestao;r;2026-01-06 11:41:10.778833942+00:00;re13;12
151;2;Gestao;U;2026-01-06 12:16:17.575627257+00:00;re13;12
152;2;Gestao;d;2026-01-06 11:39:35.190965365+00:00;re13;12
153;2;Codigo;r;2026-01-06 11:57:31.375871258+00:00;re13;12
154;2;Requisito;r;2026-01-06 11:58:25.811926402+00:00;re13;12
155;2;PF;C;2026-01-06 12:33:21.212939922+00:00;re13;12
156;2;PF;r;2026-01-06 12:09:36.923459070+00:00;re13;12
157;2;PF;u;2026-01-06 12:36:06.516272601+00:00;re13;12
158;2;PF;d;2026-01-06 11:53:56.045580760+00:00;re13;12
159;2;Gestao;r;2026-01-06 07:24:57.513648348+00:00;re13;13
160;2;Gestao;U;2026-01-06 07:02:39.589057496+00:00;re13;13
161;2;Requisito;r;2026-01-06 08:16:54.549827851+00:00;re13;13
162;2;PF;C;2026-01-06 08:55:37.610986088+00:00;re13;13
163;2;PF;d;2026-01-06 11:56:34.533114889+00:00;re13;13
164;2;Gestao;c;2026-01-06 08:08:12.535248185+00:00;re13;14
165;2;Gestao;U;2026-01-06 06:37:57.563335688+00:00;re13;14
166;2;Codigo;r;2026-01-06 10:41:01.596980768+00:00;re13;14
167;2;Codigo;U;2026-01-06 10:47:33.776316387+00:00;re13;14
168;2;Requisito;r;2026-01-06 11:40:00.528382540+00:00;re13;14
169;2;Gestao;U;2026-01-06 07:04:57.715826197+00:00;re12;15
170;2;Gestao;d;2026-01-06 09:42:26.707243391+00:00;re12;15
171;2;Teste;C;2026-01-06 10:34:56.899224958+00:00;re12;15
172;2;Teste;r;2026-01-06 07:00:39.738835626+00:00;re12;15
173;2;Teste;u;2026-01-06 07:55:17.146004370+00:00;re12;15
174;2;Teste;d;2026-01-06 05:32:05.294495537+00:00;re12;15
175;2;Gestao;r;2026-01-06 12:41:45.288715958+00:00;re12;16
176;2;Gestao;U;2026-01-06 11:19:52.478310340+00:00;re12;16
177;2;Codigo;r;2026-01-06 11:26:35.548454439+00:00;re12;16
178;2;Teste;r;2026-01-06 12:11:54.637792494+00:00;re12;16
179;2;Gestao;c;2026-01-06 11:52:07.900792104+00:00;re13;17
180;2;Gestao;r;2026-01-06 12:11:37.212878889+00:00;re13;17
181;2;Gestao;U;2026-01-06 11:37:58.270139257+00:00;re13;17
182;2;Gestao;d;2026-01-06 10:44:26.007229114+00:00;re13;17
183;2;Requisito;r;2026-01-06 10:11:53.237579702+00:00;re13;17
184;2;PF;C;2026-01-06 11:25:28.336214268+00:00;re13;17
185;2;PF;u;2026-01-06 13:25:41.954595209+00:00;re13;17
186;2;Gestao;r;2026-01-06 11:10:51.674888839+00:00;re12;18
187;2;Gestao;U;2026-01-06 11:52:43.404797409+00:00;re12;18
188;2;Codigo;r;2026-01-06 12:03:30.597660969+00:00;re12;18
189;2;PF;C;2026-01-06 11:04:14.482159290+00:00;re12;18
190;2;PF;r;2026-01-06 12:48:59.751930080+00:00;re12;18
191;2;PF;u;2026-01-06 13:43:08.817085108+00:00;re12;18
192;2;PF;d;2026-01-06 06:56:44.449379953+00:00;re12;18
193;2;Gestao;r;2026-01-06 13:20:06.494515304+00:00;re12;19
194;2;Gestao;U;2026-01-06 09:27:57.251500666+00:00;re12;19
195;2;Teste;r;2026-01-06 13:48:23.679280077+00:00;re12;19
196;2;Gestao;c;2026-01-06 05:51:27.263093711+00:00;re13;21
197;2;Gestao;U;2026-01-06 09:39:48.705310376+00:00;re13;21
198;2;Gestao;d;2026-01-06 05:40:56.111338200+00:00;re13;21
199;2;Requisito;r;2026-01-06 09:27:58.072563798+00:00;re13;21
200;2;Requisito;U;2026-01-06 04:45:19.292365762+00:00;re13;21
201;2;Requisito;d;2026-01-06 09:37:53.278304166+00:00;re13;21
202;3;Gestao;r;2026-01-06 05:10:16.284768081+00:00;re7;1
203;3;Gestao;U;2026-01-06 04:39:40.287659815+00:00;re7;1
204;3;Requisito;C;2026-01-06 05:59:09.891942807+00:00;re7;1
205;3;Requisito;r;2026-01-06 04:36:16.483649074+00:00;re7;1
206;3;Teste;r;2026-01-06 04:25:47.364686604+00:00;re7;1
207;3;Gestao;c;2026-01-06 05:14:43.830289194+00:00;re11;2
208;3;Gestao;r;2026-01-06 04:36:58.696487793+00:00;re11;2
209;3;Gestao;U;2026-01-06 06:00:04.220734839+00:00;re11;2
210;3;Gestao;d;2026-01-06 04:45:53.331907781+00:00;re11;2
211;3;Codigo;r;2026-01-06 06:19:21.226242759+00:00;re11;2
212;3;PF;C;2026-01-06 04:54:44.329014410+00:00;re11;2
213;3;PF;u;2026-01-06 05:05:52.489276012+00:00;re11;2
214;3;PF;d;2026-01-06 05:41:35.199779107+00:00;re11;2
215;3;Gestao;c;2026-01-06 03:40:18.118871512+00:00;re7;3
216;3;Gestao;U;2026-01-06 05:35:11.090354927+00:00;re7;3
217;3;Requisito;r;2026-01-06 02:51:33.365627575+00:00;re7;3
218;3;PF;C;2026-01-06 03:31:27.251220312+00:00;re7;3
219;3;PF;d;2026-01-06 04:19:28.510024705+00:00;re7;3
220;3;Gestao;r;2026-01-06 05:26:29.815293196+00:00;re11;4
221;3;Gestao;U;2026-01-06 02:16:53.688448865+00:00;re11;4
222;3;Gestao;d;2026-01-06 00:47:36.468111338+00:00;re11;4
223;3;Gestao;c;2026-01-05 23:06:17.128681372+00:00;re11;5
224;3;Gestao;r;2026-01-06 00:16:45.396743993+00:00;re11;5
225;3;Gestao;U;2026-01-06 02:48:33.885440464+00:00;re11;5
226;3;Gestao;d;2026-01-06 01:46:01.894964645+00:00;re11;5
227;3;Gestao;U;2026-01-06 06:06:00.520248736+00:00;re11;6
228;3;Codigo;r;2026-01-06 01:21:08.839822833+00:00;re11;6
229;3;Codigo;U;2026-01-06 06:27:19.048595664+00:00;re11;6
230;3;Codigo;d;2026-01-06 03:37:40.026448620+00:00;re11;6
231;3;Gestao;r;2026-01-06 06:31:40.930165976+00:00;re10;7
232;3;Gestao;U;2026-01-06 05:55:52.171646028+00:00;re10;7
233;3;Codigo;r;2026-01-06 06:46:36.142220873+00:00;re10;7
234;3;PF;C;2026-01-06 06:21:17.674485036+00:00;re10;7
235;3;PF;u;2026-01-06 06:30:03.752958632+00:00;re10;7
236;3;PF;d;2026-01-06 06:43:14.000315761+00:00;re10;7
237;3;Gestao;U;2026-01-06 05:16:55.242964461+00:00;re7;8
238;3;Requisito;r;2026-01-06 04:41:56.716687399+00:00;re7;8
239;3;PF;C;2026-01-06 03:34:15.632080943+00:00;re7;8
240;3;PF;u;2026-01-06 05:10:28.512474228+00:00;re7;8
241;3;Gestao;c;2026-01-06 04:43:46.157769002+00:00;re11;9
242;3;Gestao;U;2026-01-06 05:02:08.370144984+00:00;re11;9
243;3;Codigo;C;2026-01-06 06:06:58.528280044+00:00;re11;9
244;3;Codigo;u;2026-01-06 05:49:07.104312575+00:00;re11;9
245;3;Codigo;d;2026-01-06 04:28:52.424528223+00:00;re11;9
246;3;Gestao;c;2026-01-06 01:50:56.664980937+00:00;re11;10
247;3;Gestao;r;2026-01-06 05:49:27.305545549+00:00;re11;10
248;3;Gestao;U;2026-01-06 07:02:43.974444829+00:00;re11;10
249;3;Gestao;c;2026-01-06 06:28:11.251280948+00:00;re10;11
250;3;Gestao;U;2026-01-06 05:51:27.692437038+00:00;re10;11
251;3;Gestao;c;2026-01-06 00:12:24.432132686+00:00;re7;12
252;3;Gestao;U;2026-01-06 05:17:43.933940234+00:00;re7;12
253;3;Requisito;r;2026-01-06 02:21:07.966435349+00:00;re7;12
254;3;PF;C;2026-01-06 02:37:21.757122160+00:00;re7;12
255;3;Gestao;U;2026-01-06 07:43:31.102647687+00:00;re7;13
256;3;PF;C;2026-01-06 07:23:28.912431501+00:00;re7;13
257;3;PF;u;2026-01-06 06:49:16.729868844+00:00;re7;13
258;3;Gestao;r;2026-01-06 03:33:03.828842730+00:00;re10;14
259;3;Gestao;U;2026-01-06 08:20:23.617586205+00:00;re10;14
260;3;Codigo;c;2026-01-06 05:34:37.993605875+00:00;re10;14
261;3;Codigo;r;2026-01-06 02:32:28.783098808+00:00;re10;14
262;3;Codigo;U;2026-01-06 07:54:48.467915585+00:00;re10;14
263;3;Codigo;d;2026-01-06 07:19:05.362602295+00:00;re10;14
264;3;Requisito;r;2026-01-06 07:54:00.113044846+00:00;re10;14
265;3;Gestao;r;2026-01-06 06:07:47.164280252+00:00;re11;15
266;3;Gestao;U;2026-01-06 06:05:37.616731714+00:00;re11;15
267;3;Requisito;r;2026-01-06 02:50:48.077046765+00:00;re11;15
268;3;Teste;C;2026-01-06 08:42:16.095171274+00:00;re11;15
269;3;Teste;r;2026-01-06 01:10:55.407176650+00:00;re11;15
270;3;Teste;u;2026-01-06 04:06:18.830162535+00:00;re11;15
271;3;Gestao;c;2026-01-06 06:45:27.613496626+00:00;re11;16
272;3;Gestao;U;2026-01-06 03:38:24.938525148+00:00;re11;16
273;3;Codigo;r;2026-01-06 03:34:22.421543625+00:00;re11;16
274;3;Teste;r;2026-01-06 06:53:25.623458489+00:00;re11;16
275;3;Teste;u;2026-01-06 06:48:50.632351377+00:00;re11;16
276;3;Gestao;c;2026-01-06 08:38:52.926675629+00:00;re7;17
277;3;Gestao;r;2026-01-06 04:43:02.171449325+00:00;re7;17
278;3;Gestao;U;2026-01-06 03:23:16.223924290+00:00;re7;17
279;3;Gestao;d;2026-01-06 02:22:55.796607409+00:00;re7;17
280;3;Codigo;r;2026-01-06 02:43:39.268577546+00:00;re7;17
281;3;PF;C;2026-01-06 03:43:31.744507747+00:00;re7;17
282;3;PF;r;2026-01-06 02:05:02.681709517+00:00;re7;17
283;3;PF;u;2026-01-06 02:08:34.174285055+00:00;re7;17
284;3;PF;d;2026-01-06 05:34:23.029793503+00:00;re7;17
285;3;Gestao;c;2026-01-06 05:47:52.940101370+00:00;re11;18
286;3;Gestao;r;2026-01-06 04:49:15.256288711+00:00;re11;18
287;3;Gestao;U;2026-01-06 04:39:31.953452315+00:00;re11;18
288;3;Gestao;d;2026-01-06 08:59:16.760160766+00:00;re11;18
289;3;Requisito;r;2026-01-06 04:42:33.205542287+00:00;re11;18
290;3;PF;C;2026-01-06 03:22:37.230237631+00:00;re11;18
291;3;PF;d;2026-01-06 03:44:31.258274829+00:00;re11;18
292;3;Gestao;c;2026-01-06 07:35:41.265766216+00:00;re10;19
293;3;Gestao;r;2026-01-06 08:02:30.528805289+00:00;re10;19
294;3;Gestao;U;2026-01-06 08:17:03.607053351+00:00;re10;19
295;3;Gestao;d;2026-01-06 06:10:06.355069499+00:00;re10;19
296;3;Requisito;r;2026-01-06 07:48:40.059792448+00:00;re10;19
297;3;Teste;r;2026-01-06 08:22:01.546161344+00:00;re10;19
298;3;Gestao;c;2026-01-06 04:21:41.041956290+00:00;re7;20
299;3;Gestao;U;2026-01-06 06:08:18.514985048+00:00;re7;20
300;3;Gestao;d;2026-01-06 04:55:02.580730625+00:00;re7;20
301;3;Requisito;r;2026-01-06 04:55:17.326953246+00:00;re7;20
302;3;Requisito;U;2026-01-06 05:14:04.386720689+00:00;re7;20
303;3;Requisito;d;2026-01-06 05:26:10.429554025+00:00;re7;20
304;4;Gestao;c;2026-01-05 19:41:06.657514315+00:00;re11;1
305;4;Gestao;r;2026-01-05 18:36:30.662677890+00:00;re11;1
306;4;Gestao;U;2026-01-05 13:29:21.879394006+00:00;re11;1
307;4;Requisito;C;2026-01-05 17:59:12.734404891+00:00;re11;1
308;4;Requisito;u;2026-01-05 12:16:40.885055934+00:00;re11;1
309;4;Gestao;c;2026-01-05 22:27:49.980559097+00:00;re7;2
310;4;Gestao;r;2026-01-06 00:40:33.428108882+00:00;re7;2
311;4;Gestao;U;2026-01-06 01:32:56.937272906+00:00;re7;2
312;4;Gestao;d;2026-01-06 00:10:57.408608252+00:00;re7;2
313;4;Codigo;r;2026-01-05 23:39:31.439569972+00:00;re7;2
314;4;PF;C;2026-01-05 23:40:37.297761958+00:00;re7;2
315;4;PF;r;2026-01-05 22:46:35.872277032+00:00;re7;2
316;4;PF;u;2026-01-06 00:29:29.368546220+00:00;re7;2
317;4;Gestao;r;2026-01-06 01:49:21.125440030+00:00;re7;3
318;4;Gestao;U;2026-01-05 23:36:32.590640297+00:00;re7;3
319;4;Gestao;d;2026-01-06 00:42:42.489149090+00:00;re7;3
320;4;Codigo;r;2026-01-06 02:20:03.500095302+00:00;re7;3
321;4;PF;C;2026-01-05 22:25:08.473921445+00:00;re7;3
322;4;PF;r;2026-01-05 23:25:24.385494891+00:00;re7;3
323;4;PF;d;2026-01-06 00:23:43.678978756+00:00;re7;3
324;4;Gestao;r;2026-01-05 23:24:32.763767654+00:00;re10;4
325;4;Gestao;U;2026-01-06 02:19:24.829127144+00:00;re10;4
326;4;Gestao;d;2026-01-06 01:47:33.083396362+00:00;re10;4
327;4;Gestao;r;2026-01-05 19:46:32.574352813+00:00;re10;5
328;4;Gestao;U;2026-01-06 02:20:01.066175711+00:00;re10;5
329;4;Codigo;r;2026-01-05 22:03:22.383060005+00:00;re10;5
330;4;Codigo;U;2026-01-05 22:52:40.943201324+00:00;re10;5
331;4;Codigo;d;2026-01-06 01:03:39.420635219+00:00;re10;5
332;4;Teste;r;2026-01-06 02:51:21.253252105+00:00;re10;5
333;4;Gestao;r;2026-01-06 02:29:00.808920153+00:00;re11;6
334;4;Gestao;U;2026-01-05 21:39:44.689495989+00:00;re11;6
335;4;Gestao;U;2026-01-06 03:30:24.075642663+00:00;re11;7
336;4;Gestao;d;2026-01-06 03:26:41.366655778+00:00;re11;7
337;4;Requisito;r;2026-01-06 03:44:56.704955341+00:00;re11;7
338;4;PF;C;2026-01-06 03:54:25.358771482+00:00;re11;7
339;4;PF;r;2026-01-06 03:46:47.281079719+00:00;re11;7
340;4;PF;d;2026-01-06 03:02:42.056819764+00:00;re11;7
341;4;Gestao;c;2026-01-05 20:29:58.342627914+00:00;re10;8
342;4;Gestao;U;2026-01-05 20:03:21.550678656+00:00;re10;8
343;4;Codigo;r;2026-01-06 00:26:35.178085093+00:00;re10;8
344;4;PF;C;2026-01-06 03:37:03.953093381+00:00;re10;8
345;4;PF;r;2026-01-06 02:41:10.142371408+00:00;re10;8
346;4;PF;d;2026-01-05 20:47:53.963997092+00:00;re10;8
347;4;Gestao;c;2026-01-04 04:52:19.231205851+00:00;re10;9
348;4;Gestao;r;2026-01-04 03:22:15.323133760+00:00;re10;9
349;4;Gestao;U;2026-01-05 07:53:57.095907253+00:00;re10;9
350;4;Gestao;d;2026-01-03 21:56:51.791054441+00:00;re10;9
351;4;Codigo;C;2026-01-05 06:03:46.596201036+00:00;re10;9
352;4;Codigo;u;2026-01-05 00:19:14.000323246+00:00;re10;9
353;4;Teste;r;2026-01-04 19:33:29.537380687+00:00;re10;9
354;4;Gestao;c;2026-01-06 04:33:10.036492192+00:00;re10;10
355;4;Gestao;U;2026-01-06 03:00:17.662093658+00:00;re10;10
356;4;Requisito;r;2026-01-06 04:11:33.216516176+00:00;re10;10
357;4;PF;r;2026-01-06 02:39:22.462654295+00:00;re10;10
358;4;Gestao;U;2026-01-06 03:40:48.025328455+00:00;re11;11
359;4;Gestao;d;2026-01-06 04:20:28.851906258+00:00;re11;11
360;4;Gestao;c;2026-01-05 23:28:43.015165496+00:00;re10;12
361;4;Gestao;r;2026-01-06 00:26:56.301398116+00:00;re10;12
362;4;Gestao;U;2026-01-06 03:03:18.633655344+00:00;re10;12
363;4;Gestao;d;2026-01-05 23:43:31.052578275+00:00;re10;12
364;4;Codigo;r;2026-01-06 00:34:58.541035625+00:00;re10;12
365;4;PF;C;2026-01-06 03:41:01.970991226+00:00;re10;12
366;4;PF;u;2026-01-06 04:51:12.164735734+00:00;re10;12
367;4;PF;d;2026-01-06 04:13:34.453092769+00:00;re10;12
368;4;Gestao;c;2026-01-05 23:48:59.925791073+00:00;re10;13
369;4;Gestao;r;2026-01-05 22:36:48.711501546+00:00;re10;13
370;4;Gestao;U;2026-01-05 23:56:00.265634517+00:00;re10;13
371;4;Gestao;d;2026-01-05 22:40:13.724356311+00:00;re10;13
372;4;Codigo;r;2026-01-05 22:09:30.349616560+00:00;re10;13
373;4;PF;C;2026-01-06 02:56:52.899438221+00:00;re10;13
374;4;PF;r;2026-01-05 23:04:07.493456102+00:00;re10;13
375;4;Gestao;c;2026-01-06 02:44:01.478322791+00:00;re7;14
376;4;Gestao;U;2026-01-06 04:53:20.146143802+00:00;re7;14
377;4;Codigo;r;2026-01-06 03:15:16.771921852+00:00;re7;14
378;4;Codigo;U;2026-01-06 02:44:05.311415219+00:00;re7;14
379;4;Gestao;c;2026-01-06 04:50:27.074073198+00:00;re7;15
380;4;Gestao;r;2026-01-06 03:40:02.411684213+00:00;re7;15
